texts,labels
"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.",Usability
"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",Usability
"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",Usability
"As a Developer, I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",Maintainability
"As a DevOps engineer, I want New Relic to provide useful data across all applications.",Performance
"As a UI designer, I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",Usability
"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.",Performance
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Performance
"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what wants to be fixed.",Usability
"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.",Usability
"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.",Usability
"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.",Usability
"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.",Usability
"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements wanted.",Usability
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Performance
"As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.",Usability
"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.",Security
"As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.",Usability
"As a Developer, I want to clarify to users what exactly is triggering the CFDA error code in each case.",Usability
"As a Developer, I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.",Performance
"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.",Usability
"As a user, I don't want to see NASA grants displayed as contracts.",Usability
"As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations.",Usability
"As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.",Usability
"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.",Usability
"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.",Security
"As a FABS user, I want submission errors to accurately represent FABS errors, so that I know why my submission didn't work.",Usability
"As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.",Usability
"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.",Usability
"As an Agency user, I want to better understand my file-level errors.",Usability
"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.",Usability
"As a user, I want more information about how many rows will be published prior to deciding whether to publish.",Usability
"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.",Usability
"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.",Usability
"As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.",Usability
"As a FABS user, I do not want DABS banner messages and vice versa, so that I have the appropriate information for my application.",Usability
"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.",Usability
"As a FABS user, I want to have my validations run in a reasonable amount of time.",Performance
"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.",Usability
"As a  Staff member, I want to search for Property information, so that I can obtain all associated current and historic owners, permits, and applications.",Reliability
"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",Usability
"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.",Usability
"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",Usability
"As a user, I want to view user documentation for the website, so that I know how to use the web app.",Usability
"As a user, I want to get feedback when I enter an invalid zip code.",Usability
"As a user, I want to have a great UI and UX from the sites, so that I have a pleasant experience when navigating through them.",Usability
"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.",Portability
"As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.",Security
"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.",Security
"As a user, I want to have my personal information kept securely in the database of the website, so that I will not suffer from identity theft or telephone harassment.",Security
"As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.",Usability
"As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system.",Maintainability
"As a user, I want to be able to browse through the list of facilities and see which ones are environment-friendly, so that I can know for sure my waste is not going to leave a negative ecological footprint.",Usability
"As an API User, I want to be able to persistently store visualisation state in the database, So that such can be shared more easily and contribute to a visualisation gallery.",Maintainability
"As a Data Publishing User, I want to have my dataset update automatically as the source file/files changes, So that OpenSpending always shows current data.",Maintainability
"As an OpenSpending Community Member, I want to have a blog that highlights any and all projects in the open fiscal space, So that I can relate to openspending.org as the central hub of fiscal openness.",Usability
"As a User, I want to be able to set my own username, So that my data is more easily discoverable.",Usability
"As a Data Publishing User, I want to be able to add a dataset in a Hidden state, So that I can work on a dataset before having it discoverable via OpenSpending user interfaces.",Security
"As a Data Publishing User, I want to be able to Hide a dataset that I have already added as Public, So that I can fix my mistakes or have a dataset primarily for my own use.",Security
"As a Data Publishing User, I want to have a view on all the datasets I have published, So that I can perform management actions on my own datasets.",Usability
"As an OpenSpending Community Member, I want to have an app where I can find examples of use of fiscal data visualisations, So that I can find guidance in creating my own with Open Spending.",Usability
"As a Data Publishing User, I want to know if my CSV file is valid, So that I can fix possible data issues before publishing it on Open Spending.",Maintainability
"As a Data Consuming User, I want to visualize by default in treemap, bubble tree, map and pivot table the most recent year when my dataset contain multiple years, So that I'm not confused with the amounts.",Usability
"As a Platform administrator, I want to be able to translate the data types hierarchies of the Viewer while in embed mode, So that my users can understand the interface in their native language.",Usability
"As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.",Usability
"As a ResearcherPublisher, I want to know that my data conforms to its Data Package profile, so that I can feel trust in the validity and usefulness of the data.",Maintainability
"As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it.",Maintainability
"As a ResearcherGovernment Publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful.",Usability
"As a ResearcherGovernment Publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable.",Usability
"As a ResearcherGovernment Publisher, I want to add reference data on inflation to my spending dataset, so that the spending lines in my dataset is more understandable.",Usability
"As a ResearcherGovernment Publisher, I want to map lines in my dataset using geographic data in my dataset, so that my dataset is more engaging for non-technical users.",Usability
"As a Researcher, I want to be able to reference a remote-controlled vocabulary for my dataset, so that I can be sure that column of my dataset are valid against a single shard list of terms.",Maintainability
"As a ResearcherPublisher, I want an integration with Zenodo, so that when I store my dataset in GitHub, I don’t have to retype descriptive information about my dataset.",Maintainability
"As a Repository Manager, I want a tool that makes it easy for researchers/ users to add basic metadata to their research data, so that it is more findable and therefore useful.",Usability
"As a ResearcherPublisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data.",Usability
"As a publisher, I want to be able to check that every time I update my data it is still good, so that I can catch errors early and store reliable data.",Maintainability
"As a government Publisher, I want to make it easy to prove that our published data is valid, so that I can claim that we are living up to our transparency commitments.",Usability
"As a Civic Tech Activist, I want to make it easy to assess the quality of data stored by the government, so that I can make sure that government is living up to its transparency commitments.",Usability
"As a publisher, I want to embed an interactive preview of my data on my site, so that users can be encouraged that this is the correct data for them.",Usability
"As a publisher, I want to embed a preview button on my site, so that users can preview the data and be encouraged that this is the correct data for them.",Usability
"As a Developer, I want to customize an existing wizard for my specific type of data, so that I can give my users a great user experience.",Usability
"As a Publisher, I want to add useful metadata or add in new data columns to make the dataset more useful.",Usability
