texts,labels
"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.",No-Functional
"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",No-Functional
"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",No-Functional
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",No-Functional
"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",No-Functional
"As a Developer, I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",No-Functional
"As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.",Functional
"As a DevOps engineer, I want New Relic to provide useful data across all applications.",No-Functional
"As a UI designer, I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.",No-Functional
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",No-Functional
"As a Broker user, I want to Upload and Validate the error message to have accurate text.",Functional
"As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Functional
"As a Website user, I want to access published FABS files, so that I can see the new files as they come in.",Functional
"As an owner, I want to be sure that USAspending only send grant records to my system.",Functional
"As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.",Functional
"As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.",Functional
"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.",No-Functional
"As a user, I want to access the raw agency published files from FABS via USAspending.",Functional
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",No-Functional
"As a Broker user, I want to help create content mockups, so that I can submit my data efficiently.",Functional
"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what wants to be fixed.",No-Functional
"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.",No-Functional
"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.",No-Functional
"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.",No-Functional
"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.",No-Functional
"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements wanted.",No-Functional
"As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.",Functional
"As an data user, I want to receive updates to FABS records.",Functional
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",No-Functional
"As a Developer, I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.",Functional
"As an agency user, I want to ensure that deleted FSRS records are not included in submissions.",Functional
"As a website user, I want to see updated financial assistance data daily.",Functional
"As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.",No-Functional
"As a Developer, I want to ensure that attempts to correct or delete non-existent records don't create new published data.",Functional
"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.",No-Functional
"As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.",No-Functional
"As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict.",Functional
"As an agency user, I want the FABS validation rules to accept zero and blank for loan records.",Functional
"As an Agency user, I want FABS deployed into production, so I can submit my Financial Assistance data.",Functional
"As a Developer, I want to clarify to users what exactly is triggering the CFDA error code in each case.",No-Functional
"As an agency user, I want to be confident that the data coming from SAM is complete.",Functional
"As a Developer, I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.",No-Functional
"As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.",Functional
"As a broker team member, I want to make some updates to the SQL codes for clarity.",Functional
"As an agency user, I want to have all derived data elements derived properly.",Functional
"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.",Functional
"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.",No-Functional
"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.",Functional
"As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.",Functional
"As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.",Functional
"As a user, I don't want to see NASA grants displayed as contracts.",No-Functional
"As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired.",Functional
"As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.",Functional
"As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.",Functional
"As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.",Functional
"As an agency user, I want to use the schema v1.1 headers in my FABS file.",Functional
"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.",Functional
"As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations.",No-Functional
"As a FABS user, I want to link the SAMPLE FILE on the 'What you want to submit' dialog to point to the correct file, so that I have an accurate reference for my agency submissions.",Functional
"As an Agency user, I want FPDS data to be up-to-date daily.",Functional
"As a user, I want to access the raw agency published files from FABS via USAspending.",Functional
"As a Developer, I want to determine how agencies will generate and validate D Files from FABS and FPDS data.",Functional
